,Name,link
0,Tabla Didactica de Multiplicar de Madera,https://www.amazon.com.mx/Arte-en-Madera-Didactica-Multiplicar/dp/B07HZ3B5XZ/ref=sr_1_1?dchild=1&qid=1609298373&rnid=16945235011&s=handmade&sr=1-1
0,Cilindros Didácticos de Aprendizaje,https://www.amazon.com.mx/Arte-en-Madera-Did%C3%A1cticos-Aprendizaje/dp/B07NCB6WMD/ref=sr_1_2?dchild=1&qid=1609298373&rnid=16945235011&s=handmade&sr=1-2
0,México En Mil Adivinanzas: Juego de mesa de acertijos de México,https://www.amazon.com.mx/M%C3%A9xico-En-Mil-Adivinanzas-acertijos/dp/B08R7DN63X/ref=sr_1_3?dchild=1&qid=1609298373&rnid=16945235011&s=handmade&sr=1-3
0,CASITA PARA ARMAR A ESCALA CON MINI LADRILLOS REALES SET 301,https://www.amazon.com.mx/CASITA-ARMAR-ESCALA-LADRILLOS-REALES/dp/B08MY71323/ref=sr_1_4?dchild=1&qid=1609298373&rnid=16945235011&s=handmade&sr=1-4
0,Marioneta de Madera,https://www.amazon.com.mx/creactica-Marioneta-de-Madera/dp/B07WV7M9GQ/ref=sr_1_5?dchild=1&qid=1609298373&rnid=16945235011&s=handmade&sr=1-5
0,LumiCaja - CAJA DE LUZ,https://www.amazon.com.mx/LumiCaja-CAJA-DE-LUZ/dp/B08D7Y57ZS/ref=sr_1_6?dchild=1&qid=1609298373&rnid=16945235011&s=handmade&sr=1-6
0,"juguete con gancho y argollas juego de pesca de madera reciclada para jugar en la tina de baño o la piscina, niños y bebes",https://www.amazon.com.mx/juego-de-pesca-madera/dp/B07WLYWJN2/ref=sr_1_7?dchild=1&qid=1609298373&rnid=16945235011&s=handmade&sr=1-7
0,ROMPECABEZAS ANIMALES PARA PREESCOLAR,https://www.amazon.com.mx/La-Casita-San-Angel-ROMPECABEZAS/dp/B08FF87S79/ref=sr_1_8?dchild=1&qid=1609298373&rnid=16945235011&s=handmade&sr=1-8
0,Calendario Waldorf,https://www.amazon.com.mx/Ninus-Calendario-Waldorf/dp/B07VFL4TRS/ref=sr_1_9?dchild=1&qid=1609298373&rnid=16945235011&s=handmade&sr=1-9
0,Material didáctico educativo para preescolar aprender a contar. Juego educativo de rompecabezas magnético de números del 1 al 10. Magnet puzzle numbers.,https://www.amazon.com.mx/did%C3%A1ctico-educativo-preescolar-rompecabezas-magn%C3%A9tico/dp/B08L1L9N41/ref=sr_1_10?dchild=1&qid=1609298373&rnid=16945235011&s=handmade&sr=1-10
0,CAOS en EL ZOO,https://www.amazon.com.mx/NeuroEduca-CAOS-EN-EL-ZOO/dp/B085NC57ZK/ref=sr_1_11?dchild=1&qid=1609298373&rnid=16945235011&s=handmade&sr=1-11
0,Agarra Lápiz Ergonómico (1 unidad),https://www.amazon.com.mx/Agarra-L%C3%A1piz-Ergon%C3%B3mico-1-unidad/dp/B0893PN77F/ref=sr_1_12?dchild=1&qid=1609298373&rnid=16945235011&s=handmade&sr=1-12
0,FIGURAS DIDÁCTICAS PARA ENSARTAR AGUJETAS,https://www.amazon.com.mx/FIGURAS-DID%C3%81CTICAS-PARA-ENSARTAR-AGUJETAS/dp/B08GL1XZNQ/ref=sr_1_13?dchild=1&qid=1609298373&rnid=16945235011&s=handmade&sr=1-13
0,FIGURAS DIDÁCTICAS ABECEDARIO LETRAS MAYÚSCULAS,https://www.amazon.com.mx/FIGURAS-DID%C3%81CTICAS-ABECEDARIO-LETRAS-MAY%C3%9ASCULAS/dp/B08FD2RGHR/ref=sr_1_14?dchild=1&qid=1609298373&rnid=16945235011&s=handmade&sr=1-14
0,Juego Geométrico Armable,https://www.amazon.com.mx/Arte-en-Madera-Geom%C3%A9trico-Armable/dp/B07NCBCTJM/ref=sr_1_15?dchild=1&qid=1609298373&rnid=16945235011&s=handmade&sr=1-15
0,Materia Waldorf,https://www.amazon.com.mx/Ninus-Materia-Waldorf/dp/B07VDGZKSY/ref=sr_1_16?dchild=1&qid=1609298373&rnid=16945235011&s=handmade&sr=1-16
0,Carrito Didáctico de Madera,https://www.amazon.com.mx/Arte-en-Madera-Carrito-Did%C3%A1ctico/dp/B07HYHMLCM/ref=sr_1_17?dchild=1&qid=1609298373&rnid=16945235011&s=handmade&sr=1-17
0,Brije Bujofante Tuna: 100 animales en 1 / Muñeco de trapo convertible / Rompecabezas de alebrije,https://www.amazon.com.mx/Brije-Bujofante-Tuna-convertible-Rompecabezas/dp/B08R7928N1/ref=sr_1_18?dchild=1&qid=1609298373&rnid=16945235011&s=handmade&sr=1-18
0,Brije Bujofante Pavoreal: 100 animales en 1 / Muñeco de trapo convertible / Rompecabezas de alebrije,https://www.amazon.com.mx/Brije-Bujofante-Pavoreal-convertible-Rompecabezas/dp/B08R78VCYV/ref=sr_1_19?dchild=1&qid=1609298373&rnid=16945235011&s=handmade&sr=1-19
0,Brije Bujofante Orquídea: 100 animales en 1 / Muñeco de trapo convertible / Rompecabezas de alebrije,https://www.amazon.com.mx/Brije-Bujofante-Orqu%C3%ADdea-convertible-Rompecabezas/dp/B08R78M3SX/ref=sr_1_20?dchild=1&qid=1609298373&rnid=16945235011&s=handmade&sr=1-20
0,Water Wow Maquillaje y Uñas Makeup & Manicures On the Go Melissa & Doug,https://www.amazon.com.mx/000772194167/dp/B08R61HPJF/ref=sr_1_21?dchild=1&qid=1609298373&rnid=16945235011&s=handmade&sr=1-21
0,Tren de Figuras de Madera Stacking Train Melissa & Doug,https://www.amazon.com.mx/Figuras-Madera-Stacking-Train-Melissa/dp/B08R5Y5JFL/ref=sr_1_22?dchild=1&qid=1609298373&rnid=16945235011&s=handmade&sr=1-22
0,Water Wow Aventuras Aventure On the Go Melissa & Doug,https://www.amazon.com.mx/Water-Aveturas-Aventure-Melissa-Doug/dp/B08R5W8ZL7/ref=sr_1_23?dchild=1&qid=1609298373&rnid=16945235011&s=handmade&sr=1-23
0,Water Wow Abecedario Alphabet On The Go,https://www.amazon.com.mx/Water-Wow-Abecedario-Alphaber-Go/dp/B08R5FV8J2/ref=sr_1_24?dchild=1&qid=1609298373&rnid=16945235011&s=handmade&sr=1-24
0,Mis Tesoros y Carrito Unicornio,https://www.amazon.com.mx/Mis-Tesoros-y-Carrito-Unicornio/dp/B08Q862Y8P/ref=sr_1_25?dchild=1&qid=1609298373&rnid=16945235011&s=handmade&sr=1-25
0,Hada de los Dientes,https://www.amazon.com.mx/Arteralia-Hada-de-los-Dientes/dp/B08NH265R6/ref=sr_1_26?dchild=1&qid=1609298373&rnid=16945235011&s=handmade&sr=1-26
